code,name,description,refreshed_at,from_date,to_date
BIOFUEL_PROD_D_IDN,Biofuel Production - Daily Average - Indonesia,Biofuel Production - Daily Average - Indonesia. 1000 Barrels per Day. Renewable energy.,22-05-2021 04:00,31-12-1990,31-12-2019
BIOFUEL_PROD_D_IND,Biofuel Production - Daily Average - India,Biofuel Production - Daily Average - India. 1000 Barrels per Day. Renewable energy.,22-05-2021 04:00,31-12-1990,31-12-2019
BIOFUEL_PROD_D_ITA,Biofuel Production - Daily Average - Italy,Biofuel Production - Daily Average - Italy. 1000 Barrels per Day. Renewable energy.,22-05-2021 04:00,31-12-1990,31-12-2019
BIOFUEL_PROD_D_KOR,Biofuel Production - Daily Average - South Korea,Biofuel Production - Daily Average - South Korea. 1000 Barrels per Day. Renewable energy.,22-05-2021 04:00,31-12-1990,31-12-2019
BIOFUEL_PROD_D_MEX,Biofuel Production - Daily Average - Mexico,Biofuel Production - Daily Average - Mexico. 1000 Barrels per Day. Renewable energy.,22-08-2019 15:54,31-12-1990,31-12-2018
BIOFUEL_PROD_D_MIDE,Biofuel Production - Daily Average - Total Middle East,Biofuel Production - Daily Average - Total Middle East. 1000 Barrels per Day. Renewable energy.,22-05-2021 04:00,31-12-1990,31-12-2019
BIOFUEL_PROD_D_NLD,Biofuel Production - Daily Average - Netherlands,Biofuel Production - Daily Average - Netherlands. 1000 Barrels per Day. Renewable energy.,22-05-2021 04:00,31-12-1990,31-12-2019
BIOFUEL_PROD_D_NOAM,Biofuel Production - Daily Average - Total North America,Biofuel Production - Daily Average - Total North America. 1000 Barrels per Day. Renewable energy.,22-05-2021 04:00,31-12-1990,31-12-2019
BIOFUEL_PROD_D_OASP,Biofuel Production - Daily Average - Other Asia Pacific,Biofuel Production - Daily Average - Other Asia Pacific. 1000 Barrels per Day. Renewable energy.,22-05-2021 04:00,31-12-1990,31-12-2019
BIOFUEL_PROD_D_OEUE,Biofuel Production - Daily Average - Other Europe & Eurasia,Biofuel Production - Daily Average - Other Europe & Eurasia. 1000 Barrels per Day. Renewable energy.,22-09-2018 04:05,31-12-1990,31-12-2016
BIOFUEL_PROD_D_OSCA,Biofuel Production - Daily Average - Other S. & Cent. America,Biofuel Production - Daily Average - Other S. & Cent. America. 1000 Barrels per Day. Renewable energy.,22-05-2021 04:00,31-12-1990,31-12-2019
BIOFUEL_PROD_D_POL,Biofuel Production - Daily Average - Poland,Biofuel Production - Daily Average - Poland. 1000 Barrels per Day. Renewable energy.,22-05-2021 04:00,31-12-1990,31-12-2019
BIOFUEL_PROD_D_PRT,Biofuel Production - Daily Average - Portugal,Biofuel Production - Daily Average - Portugal. 1000 Barrels per Day. Renewable energy.,22-05-2021 04:00,31-12-1990,31-12-2019
BIOFUEL_PROD_D_SWE,Biofuel Production - Daily Average - Sweden,Biofuel Production - Daily Average - Sweden. 1000 Barrels per Day. Renewable energy.,22-05-2021 04:00,31-12-1990,31-12-2019
BIOFUEL_PROD_D_TAFR,Biofuel Production - Daily Average - Total Africa,Biofuel Production - Daily Average - Total Africa. 1000 Barrels per Day. Renewable energy.,22-05-2021 04:00,31-12-1990,31-12-2019
BIOFUEL_PROD_D_TASP,Biofuel Production - Daily Average - Total Asia Pacific,Biofuel Production - Daily Average - Total Asia Pacific. 1000 Barrels per Day. Renewable energy.,22-05-2021 04:00,31-12-1990,31-12-2019
BIOFUEL_PROD_D_TEUE,Biofuel Production - Daily Average - Total Europe & Eurasia,Biofuel Production - Daily Average - Total Europe & Eurasia. 1000 Barrels per Day. Renewable energy.,22-09-2018 04:05,31-12-1990,31-12-2016
BIOFUEL_PROD_D_THA,Biofuel Production - Daily Average - Thailand,Biofuel Production - Daily Average - Thailand. 1000 Barrels per Day. Renewable energy.,22-05-2021 04:00,31-12-1990,31-12-2019
BIOFUEL_PROD_D_USA,Biofuel Production - Daily Average - USA,Biofuel Production - Daily Average - USA. 1000 Barrels per Day. Renewable energy.,22-05-2021 04:00,31-12-1990,31-12-2019
BIOFUEL_PROD_D_WRLD,Biofuel Production - Daily Average - Total World,Biofuel Production - Daily Average - Total World. 1000 Barrels per Day. Renewable energy.,22-05-2021 04:00,31-12-1990,31-12-2019
BIOFUEL_PROD_O_ARG,Biofuel Production - Oil Equivalent - Argentina,Biofuel Production - Oil Equivalent - Argentina. Thousand Tonnes oil equivalent. Renewable energy. Consumption of fuel ethanol and biodiesel is included in oil consumption tables. Growth rates are adjusted for leap years.,22-08-2019 15:55,31-12-1990,31-12-2018
BIOFUEL_PROD_O_AUS,Biofuel Production - Oil Equivalent - Australia,Biofuel Production - Oil Equivalent - Australia. Thousand Tonnes oil equivalent. Renewable energy. Consumption of fuel ethanol and biodiesel is included in oil consumption tables. Growth rates are adjusted for leap years.,22-08-2019 15:55,31-12-1990,31-12-2018
BIOFUEL_PROD_O_AUT,Biofuel Production - Oil Equivalent - Austria,Biofuel Production - Oil Equivalent - Austria. Thousand Tonnes oil equivalent. Renewable energy. Consumption of fuel ethanol and biodiesel is included in oil consumption tables. Growth rates are adjusted for leap years.,22-08-2019 15:55,31-12-1990,31-12-2018
BIOFUEL_PROD_O_BEL,Biofuel Production - Oil Equivalent - Belgium,Biofuel Production - Oil Equivalent - Belgium. Thousand Tonnes oil equivalent. Renewable energy. Consumption of fuel ethanol and biodiesel is included in oil consumption tables. Growth rates are adjusted for leap years.,22-08-2019 15:55,31-12-1990,31-12-2018
BIOFUEL_PROD_O_BRA,Biofuel Production - Oil Equivalent - Brazil,Biofuel Production - Oil Equivalent - Brazil. Thousand Tonnes oil equivalent. Renewable energy. Consumption of fuel ethanol and biodiesel is included in oil consumption tables. Growth rates are adjusted for leap years.,22-08-2019 15:55,31-12-1990,31-12-2018
BIOFUEL_PROD_O_CAN,Biofuel Production - Oil Equivalent - Canada,Biofuel Production - Oil Equivalent - Canada. Thousand Tonnes oil equivalent. Renewable energy. Consumption of fuel ethanol and biodiesel is included in oil consumption tables. Growth rates are adjusted for leap years.,22-01-2019 15:15,31-12-1990,31-12-2017
BIOFUEL_PROD_O_CESA,Biofuel Production - Oil Equivalent - Total S. & Cent. America,Biofuel Production - Oil Equivalent - Total S. & Cent. America. Thousand Tonnes oil equivalent. Renewable energy. Consumption of fuel ethanol and biodiesel is included in oil consumption tables. Growth rates are adjusted for leap years.,22-08-2019 15:55,31-12-1990,31-12-2018
BIOFUEL_PROD_O_CHN,Biofuel Production - Oil Equivalent - China,Biofuel Production - Oil Equivalent - China. Thousand Tonnes oil equivalent. Renewable energy. Consumption of fuel ethanol and biodiesel is included in oil consumption tables. Growth rates are adjusted for leap years.,22-08-2019 15:55,31-12-1990,31-12-2018
BIOFUEL_PROD_O_COL,Biofuel Production - Oil Equivalent - Colombia,Biofuel Production - Oil Equivalent - Colombia. Thousand Tonnes oil equivalent. Renewable energy. Consumption of fuel ethanol and biodiesel is included in oil consumption tables. Growth rates are adjusted for leap years.,22-08-2019 15:55,31-12-1990,31-12-2018
BIOFUEL_PROD_O_DEU,Biofuel Production - Oil Equivalent - Germany,Biofuel Production - Oil Equivalent - Germany. Thousand Tonnes oil equivalent. Renewable energy. Consumption of fuel ethanol and biodiesel is included in oil consumption tables. Growth rates are adjusted for leap years.,22-08-2019 15:55,31-12-1990,31-12-2018
BIOFUEL_PROD_O_ESP,Biofuel Production - Oil Equivalent - Spain,Biofuel Production - Oil Equivalent - Spain. Thousand Tonnes oil equivalent. Renewable energy. Consumption of fuel ethanol and biodiesel is included in oil consumption tables. Growth rates are adjusted for leap years.,22-08-2019 15:55,31-12-1990,31-12-2018
BIOFUEL_PROD_O_EUR,Biofuel Production - Oil Equivalent - Total Europe,Biofuel Production - Oil Equivalent - Total Europe. Thousand Tonnes oil equivalent. Renewable energy. Consumption of fuel ethanol and biodiesel is included in oil consumption tables. Growth rates are adjusted for leap years.,22-08-2019 15:55,31-12-1990,31-12-2018
BIOFUEL_PROD_O_FIN,Biofuel Production - Oil Equivalent - Finland,Biofuel Production - Oil Equivalent - Finland. Thousand Tonnes oil equivalent. Renewable energy. Consumption of fuel ethanol and biodiesel is included in oil consumption tables. Growth rates are adjusted for leap years.,22-08-2019 15:55,31-12-1990,31-12-2018
BIOFUEL_PROD_O_FRA,Biofuel Production - Oil Equivalent - France,Biofuel Production - Oil Equivalent - France. Thousand Tonnes oil equivalent. Renewable energy. Consumption of fuel ethanol and biodiesel is included in oil consumption tables. Growth rates are adjusted for leap years.,22-08-2019 15:55,31-12-1990,31-12-2018
BIOFUEL_PROD_O_GBR,Biofuel Production - Oil Equivalent - United Kingdom,Biofuel Production - Oil Equivalent - United Kingdom. Thousand Tonnes oil equivalent. Renewable energy. Consumption of fuel ethanol and biodiesel is included in oil consumption tables. Growth rates are adjusted for leap years.,22-08-2019 15:55,31-12-1990,31-12-2018
BIOFUEL_PROD_O_IDN,Biofuel Production - Oil Equivalent - Indonesia,Biofuel Production - Oil Equivalent - Indonesia. Thousand Tonnes oil equivalent. Renewable energy. Consumption of fuel ethanol and biodiesel is included in oil consumption tables. Growth rates are adjusted for leap years.,22-08-2019 15:55,31-12-1990,31-12-2018
BIOFUEL_PROD_O_IND,Biofuel Production - Oil Equivalent - India,Biofuel Production - Oil Equivalent - India. Thousand Tonnes oil equivalent. Renewable energy. Consumption of fuel ethanol and biodiesel is included in oil consumption tables. Growth rates are adjusted for leap years.,22-08-2019 15:55,31-12-1990,31-12-2018
BIOFUEL_PROD_O_ITA,Biofuel Production - Oil Equivalent - Italy,Biofuel Production - Oil Equivalent - Italy. Thousand Tonnes oil equivalent. Renewable energy. Consumption of fuel ethanol and biodiesel is included in oil consumption tables. Growth rates are adjusted for leap years.,22-08-2019 15:55,31-12-1990,31-12-2018
BIOFUEL_PROD_O_KOR,Biofuel Production - Oil Equivalent - South Korea,Biofuel Production - Oil Equivalent - South Korea. Thousand Tonnes oil equivalent. Renewable energy. Consumption of fuel ethanol and biodiesel is included in oil consumption tables. Growth rates are adjusted for leap years.,22-08-2019 15:55,31-12-1990,31-12-2018
BIOFUEL_PROD_O_MEX,Biofuel Production - Oil Equivalent - Mexico,Biofuel Production - Oil Equivalent - Mexico. Thousand Tonnes oil equivalent. Renewable energy. Consumption of fuel ethanol and biodiesel is included in oil consumption tables. Growth rates are adjusted for leap years.,22-01-2019 15:15,31-12-1990,31-12-2017
BIOFUEL_PROD_O_MIDE,Biofuel Production - Oil Equivalent - Total Middle East,Biofuel Production - Oil Equivalent - Total Middle East. Thousand Tonnes oil equivalent. Renewable energy. Consumption of fuel ethanol and biodiesel is included in oil consumption tables. Growth rates are adjusted for leap years.,22-08-2019 15:55,31-12-1990,31-12-2018
BIOFUEL_PROD_O_NLD,Biofuel Production - Oil Equivalent - Netherlands,Biofuel Production - Oil Equivalent - Netherlands. Thousand Tonnes oil equivalent. Renewable energy. Consumption of fuel ethanol and biodiesel is included in oil consumption tables. Growth rates are adjusted for leap years.,22-08-2019 15:55,31-12-1990,31-12-2018
BIOFUEL_PROD_O_NOAM,Biofuel Production - Oil Equivalent - Total North America,Biofuel Production - Oil Equivalent - Total North America. Thousand Tonnes oil equivalent. Renewable energy. Consumption of fuel ethanol and biodiesel is included in oil consumption tables. Growth rates are adjusted for leap years.,22-08-2019 15:55,31-12-1990,31-12-2018
BIOFUEL_PROD_O_OASP,Biofuel Production - Oil Equivalent - Other Asia Pacific,Biofuel Production - Oil Equivalent - Other Asia Pacific. Thousand Tonnes oil equivalent. Renewable energy. Consumption of fuel ethanol and biodiesel is included in oil consumption tables. Growth rates are adjusted for leap years.,22-08-2019 15:55,31-12-1990,31-12-2018
BIOFUEL_PROD_O_OEUE,Biofuel Production - Oil Equivalent - Other Europe & Eurasia,Biofuel Production - Oil Equivalent - Other Europe & Eurasia. Thousand Tonnes oil equivalent. Renewable energy. Consumption of fuel ethanol and biodiesel is included in oil consumption tables. Growth rates are adjusted for leap years.,22-09-2018 04:06,31-12-1990,31-12-2016
BIOFUEL_PROD_O_OSCA,Biofuel Production - Oil Equivalent - Other S. & Cent. America,Biofuel Production - Oil Equivalent - Other S. & Cent. America. Thousand Tonnes oil equivalent. Renewable energy. Consumption of fuel ethanol and biodiesel is included in oil consumption tables. Growth rates are adjusted for leap years.,22-08-2019 15:55,31-12-1990,31-12-2018
BIOFUEL_PROD_O_POL,Biofuel Production - Oil Equivalent - Poland,Biofuel Production - Oil Equivalent - Poland. Thousand Tonnes oil equivalent. Renewable energy. Consumption of fuel ethanol and biodiesel is included in oil consumption tables. Growth rates are adjusted for leap years.,22-08-2019 15:55,31-12-1990,31-12-2018
BIOFUEL_PROD_O_PRT,Biofuel Production - Oil Equivalent - Portugal,Biofuel Production - Oil Equivalent - Portugal. Thousand Tonnes oil equivalent. Renewable energy. Consumption of fuel ethanol and biodiesel is included in oil consumption tables. Growth rates are adjusted for leap years.,22-08-2019 15:55,31-12-1990,31-12-2018
BIOFUEL_PROD_O_SWE,Biofuel Production - Oil Equivalent - Sweden,Biofuel Production - Oil Equivalent - Sweden. Thousand Tonnes oil equivalent. Renewable energy. Consumption of fuel ethanol and biodiesel is included in oil consumption tables. Growth rates are adjusted for leap years.,22-08-2019 15:55,31-12-1990,31-12-2018
BIOFUEL_PROD_O_TAFR,Biofuel Production - Oil Equivalent - Total Africa,Biofuel Production - Oil Equivalent - Total Africa. Thousand Tonnes oil equivalent. Renewable energy. Consumption of fuel ethanol and biodiesel is included in oil consumption tables. Growth rates are adjusted for leap years.,22-08-2019 15:55,31-12-1990,31-12-2018
BIOFUEL_PROD_O_TASP,Biofuel Production - Oil Equivalent - Total Asia Pacific,Biofuel Production - Oil Equivalent - Total Asia Pacific. Thousand Tonnes oil equivalent. Renewable energy. Consumption of fuel ethanol and biodiesel is included in oil consumption tables. Growth rates are adjusted for leap years.,22-08-2019 15:55,31-12-1990,31-12-2018
BIOFUEL_PROD_O_TEUE,Biofuel Production - Oil Equivalent - Total Europe & Eurasia,Biofuel Production - Oil Equivalent - Total Europe & Eurasia. Thousand Tonnes oil equivalent. Renewable energy. Consumption of fuel ethanol and biodiesel is included in oil consumption tables. Growth rates are adjusted for leap years.,22-09-2018 04:06,31-12-1990,31-12-2016
BIOFUEL_PROD_O_THA,Biofuel Production - Oil Equivalent - Thailand,Biofuel Production - Oil Equivalent - Thailand. Thousand Tonnes oil equivalent. Renewable energy. Consumption of fuel ethanol and biodiesel is included in oil consumption tables. Growth rates are adjusted for leap years.,22-08-2019 15:55,31-12-1990,31-12-2018
BIOFUEL_PROD_O_USA,Biofuel Production - Oil Equivalent - USA,Biofuel Production - Oil Equivalent - USA. Thousand Tonnes oil equivalent. Renewable energy. Consumption of fuel ethanol and biodiesel is included in oil consumption tables. Growth rates are adjusted for leap years.,22-08-2019 15:55,31-12-1990,31-12-2018
BIOFUEL_PROD_O_WRLD,Biofuel Production - Oil Equivalent - Total World,Biofuel Production - Oil Equivalent - Total World. Thousand Tonnes oil equivalent. Renewable energy. Consumption of fuel ethanol and biodiesel is included in oil consumption tables. Growth rates are adjusted for leap years.,22-08-2019 15:55,31-12-1990,31-12-2018
C02_EMMISSIONS_ARE,Carbon Dioxide (CO2) Emmissions - United Arab Emirates,"Carbon Dioxide (CO2) Emmissions - United Arab Emirates. Million Tonnes of carbon dioxide. Carbon emissions reflect only those through consumption of oil, gas and coal, and are based on standard global average conversion factors. This does not allow for any carbon that is sequestered, for other sources of carbon emissions, or for emissions of other greenhouse gases. The data is therefore not comparable to official national emissions data. The table is compiled on the basis of carbon content: oil - 73,300 kg CO2 per TJ (3.07 tonnes per tonne of oil equivalent); natural gas - 56,100 kg CO2 per TJ (2.35 tonnes per tonne of oil equivalent); coal - 94,600 kg CO2 per TJ (3.96 tonnes per tonne of oil equivalent).",22-05-2021 04:00,31-12-1965,31-12-2019
C02_EMMISSIONS_ARG,Carbon Dioxide (CO2) Emmissions - Argentina,"Carbon Dioxide (CO2) Emmissions - Argentina. Million Tonnes of carbon dioxide. Carbon emissions reflect only those through consumption of oil, gas and coal, and are based on standard global average conversion factors. This does not allow for any carbon that is sequestered, for other sources of carbon emissions, or for emissions of other greenhouse gases. The data is therefore not comparable to official national emissions data. The table is compiled on the basis of carbon content: oil - 73,300 kg CO2 per TJ (3.07 tonnes per tonne of oil equivalent); natural gas - 56,100 kg CO2 per TJ (2.35 tonnes per tonne of oil equivalent); coal - 94,600 kg CO2 per TJ (3.96 tonnes per tonne of oil equivalent).",22-05-2021 04:00,31-12-1965,31-12-2019
C02_EMMISSIONS_AUS,Carbon Dioxide (CO2) Emmissions - Australia,"Carbon Dioxide (CO2) Emmissions - Australia. Million Tonnes of carbon dioxide. Carbon emissions reflect only those through consumption of oil, gas and coal, and are based on standard global average conversion factors. This does not allow for any carbon that is sequestered, for other sources of carbon emissions, or for emissions of other greenhouse gases. The data is therefore not comparable to official national emissions data. The table is compiled on the basis of carbon content: oil - 73,300 kg CO2 per TJ (3.07 tonnes per tonne of oil equivalent); natural gas - 56,100 kg CO2 per TJ (2.35 tonnes per tonne of oil equivalent); coal - 94,600 kg CO2 per TJ (3.96 tonnes per tonne of oil equivalent).",22-05-2021 04:00,31-12-1965,31-12-2019
C02_EMMISSIONS_AUT,Carbon Dioxide (CO2) Emmissions - Austria,"Carbon Dioxide (CO2) Emmissions - Austria. Million Tonnes of carbon dioxide. Carbon emissions reflect only those through consumption of oil, gas and coal, and are based on standard global average conversion factors. This does not allow for any carbon that is sequestered, for other sources of carbon emissions, or for emissions of other greenhouse gases. The data is therefore not comparable to official national emissions data. The table is compiled on the basis of carbon content: oil - 73,300 kg CO2 per TJ (3.07 tonnes per tonne of oil equivalent); natural gas - 56,100 kg CO2 per TJ (2.35 tonnes per tonne of oil equivalent); coal - 94,600 kg CO2 per TJ (3.96 tonnes per tonne of oil equivalent).",22-05-2021 04:00,31-12-1965,31-12-2019
C02_EMMISSIONS_AZE,Carbon Dioxide (CO2) Emmissions - Azerbaijan,"Carbon Dioxide (CO2) Emmissions - Azerbaijan. Million Tonnes of carbon dioxide. Carbon emissions reflect only those through consumption of oil, gas and coal, and are based on standard global average conversion factors. This does not allow for any carbon that is sequestered, for other sources of carbon emissions, or for emissions of other greenhouse gases. The data is therefore not comparable to official national emissions data. The table is compiled on the basis of carbon content: oil - 73,300 kg CO2 per TJ (3.07 tonnes per tonne of oil equivalent); natural gas - 56,100 kg CO2 per TJ (2.35 tonnes per tonne of oil equivalent); coal - 94,600 kg CO2 per TJ (3.96 tonnes per tonne of oil equivalent).",22-05-2021 04:00,31-12-1985,31-12-2019
C02_EMMISSIONS_BEL,Carbon Dioxide (CO2) Emmissions - Belgium,"Carbon Dioxide (CO2) Emmissions - Belgium. Million Tonnes of carbon dioxide. Carbon emissions reflect only those through consumption of oil, gas and coal, and are based on standard global average conversion factors. This does not allow for any carbon that is sequestered, for other sources of carbon emissions, or for emissions of other greenhouse gases. The data is therefore not comparable to official national emissions data. The table is compiled on the basis of carbon content: oil - 73,300 kg CO2 per TJ (3.07 tonnes per tonne of oil equivalent); natural gas - 56,100 kg CO2 per TJ (2.35 tonnes per tonne of oil equivalent); coal - 94,600 kg CO2 per TJ (3.96 tonnes per tonne of oil equivalent).",22-05-2021 04:00,31-12-1965,31-12-2019
C02_EMMISSIONS_BGD,Carbon Dioxide (CO2) Emmissions - Bangladesh,"Carbon Dioxide (CO2) Emmissions - Bangladesh. Million Tonnes of carbon dioxide. Carbon emissions reflect only those through consumption of oil, gas and coal, and are based on standard global average conversion factors. This does not allow for any carbon that is sequestered, for other sources of carbon emissions, or for emissions of other greenhouse gases. The data is therefore not comparable to official national emissions data. The table is compiled on the basis of carbon content: oil - 73,300 kg CO2 per TJ (3.07 tonnes per tonne of oil equivalent); natural gas - 56,100 kg CO2 per TJ (2.35 tonnes per tonne of oil equivalent); coal - 94,600 kg CO2 per TJ (3.96 tonnes per tonne of oil equivalent).",22-05-2021 04:00,31-12-1965,31-12-2019
C02_EMMISSIONS_BGR,Carbon Dioxide (CO2) Emmissions - Bulgaria,"Carbon Dioxide (CO2) Emmissions - Bulgaria. Million Tonnes of carbon dioxide. Carbon emissions reflect only those through consumption of oil, gas and coal, and are based on standard global average conversion factors. This does not allow for any carbon that is sequestered, for other sources of carbon emissions, or for emissions of other greenhouse gases. The data is therefore not comparable to official national emissions data. The table is compiled on the basis of carbon content: oil - 73,300 kg CO2 per TJ (3.07 tonnes per tonne of oil equivalent); natural gas - 56,100 kg CO2 per TJ (2.35 tonnes per tonne of oil equivalent); coal - 94,600 kg CO2 per TJ (3.96 tonnes per tonne of oil equivalent).",22-05-2021 04:00,31-12-1965,31-12-2019
C02_EMMISSIONS_BLR,Carbon Dioxide (CO2) Emmissions - Belarus,"Carbon Dioxide (CO2) Emmissions - Belarus. Million Tonnes of carbon dioxide. Carbon emissions reflect only those through consumption of oil, gas and coal, and are based on standard global average conversion factors. This does not allow for any carbon that is sequestered, for other sources of carbon emissions, or for emissions of other greenhouse gases. The data is therefore not comparable to official national emissions data. The table is compiled on the basis of carbon content: oil - 73,300 kg CO2 per TJ (3.07 tonnes per tonne of oil equivalent); natural gas - 56,100 kg CO2 per TJ (2.35 tonnes per tonne of oil equivalent); coal - 94,600 kg CO2 per TJ (3.96 tonnes per tonne of oil equivalent).",22-05-2021 04:00,31-12-1985,31-12-2019
C02_EMMISSIONS_BRA,Carbon Dioxide (CO2) Emmissions - Brazil,"Carbon Dioxide (CO2) Emmissions - Brazil. Million Tonnes of carbon dioxide. Carbon emissions reflect only those through consumption of oil, gas and coal, and are based on standard global average conversion factors. This does not allow for any carbon that is sequestered, for other sources of carbon emissions, or for emissions of other greenhouse gases. The data is therefore not comparable to official national emissions data. The table is compiled on the basis of carbon content: oil - 73,300 kg CO2 per TJ (3.07 tonnes per tonne of oil equivalent); natural gas - 56,100 kg CO2 per TJ (2.35 tonnes per tonne of oil equivalent); coal - 94,600 kg CO2 per TJ (3.96 tonnes per tonne of oil equivalent).",22-05-2021 04:00,31-12-1965,31-12-2019
C02_EMMISSIONS_CAN,Carbon Dioxide (CO2) Emmissions - Canada,"Carbon Dioxide (CO2) Emmissions - Canada. Million Tonnes of carbon dioxide. Carbon emissions reflect only those through consumption of oil, gas and coal, and are based on standard global average conversion factors. This does not allow for any carbon that is sequestered, for other sources of carbon emissions, or for emissions of other greenhouse gases. The data is therefore not comparable to official national emissions data. The table is compiled on the basis of carbon content: oil - 73,300 kg CO2 per TJ (3.07 tonnes per tonne of oil equivalent); natural gas - 56,100 kg CO2 per TJ (2.35 tonnes per tonne of oil equivalent); coal - 94,600 kg CO2 per TJ (3.96 tonnes per tonne of oil equivalent).",22-01-2019 15:15,31-12-1965,31-12-2017
C02_EMMISSIONS_CESA,Carbon Dioxide (CO2) Emmissions - Total S. & Cent. America,"Carbon Dioxide (CO2) Emmissions - Total S. & Cent. America. Million Tonnes of carbon dioxide. Carbon emissions reflect only those through consumption of oil, gas and coal, and are based on standard global average conversion factors. This does not allow for any carbon that is sequestered, for other sources of carbon emissions, or for emissions of other greenhouse gases. The data is therefore not comparable to official national emissions data. The table is compiled on the basis of carbon content: oil - 73,300 kg CO2 per TJ (3.07 tonnes per tonne of oil equivalent); natural gas - 56,100 kg CO2 per TJ (2.35 tonnes per tonne of oil equivalent); coal - 94,600 kg CO2 per TJ (3.96 tonnes per tonne of oil equivalent).",22-05-2021 04:00,31-12-1965,31-12-2019
C02_EMMISSIONS_CHE,Carbon Dioxide (CO2) Emmissions - Switzerland,"Carbon Dioxide (CO2) Emmissions - Switzerland. Million Tonnes of carbon dioxide. Carbon emissions reflect only those through consumption of oil, gas and coal, and are based on standard global average conversion factors. This does not allow for any carbon that is sequestered, for other sources of carbon emissions, or for emissions of other greenhouse gases. The data is therefore not comparable to official national emissions data. The table is compiled on the basis of carbon content: oil - 73,300 kg CO2 per TJ (3.07 tonnes per tonne of oil equivalent); natural gas - 56,100 kg CO2 per TJ (2.35 tonnes per tonne of oil equivalent); coal - 94,600 kg CO2 per TJ (3.96 tonnes per tonne of oil equivalent).",22-05-2021 04:00,31-12-1965,31-12-2019
C02_EMMISSIONS_CHL,Carbon Dioxide (CO2) Emmissions - Chile,"Carbon Dioxide (CO2) Emmissions - Chile. Million Tonnes of carbon dioxide. Carbon emissions reflect only those through consumption of oil, gas and coal, and are based on standard global average conversion factors. This does not allow for any carbon that is sequestered, for other sources of carbon emissions, or for emissions of other greenhouse gases. The data is therefore not comparable to official national emissions data. The table is compiled on the basis of carbon content: oil - 73,300 kg CO2 per TJ (3.07 tonnes per tonne of oil equivalent); natural gas - 56,100 kg CO2 per TJ (2.35 tonnes per tonne of oil equivalent); coal - 94,600 kg CO2 per TJ (3.96 tonnes per tonne of oil equivalent).",22-05-2021 04:00,31-12-1965,31-12-2019
